Year	LowFreq_Hz	HighFreq_Hz	PeakFreq_Hz	DeltaFreq_Hz	DeltaTime_s	PFC_Num_Inf_Pts
Pre-Lockdown	5255.4	17518	10500	12262.6	1.771	111
Lockdown	5538.5	17496.5	12093.8	11958	0.619	59
Lockdown	4405.6	17496.5	9187.5	13090.9	1.057	80
Lockdown	7596.7	17493.3	8343.8	9896.6	1.033	86
Pre-Lockdown	8038.3	17483.4	8161.2	9445.1	1.585	289
Lockdown	7174.8	17454.5	10125	10279.7	0.908	52
Lockdown	7636.4	17454.5	10687.5	9818.2	0.635	55
Pre-Lockdown	6713	17453.9	14648.4	10740.9	1.308	389
Pre-Lockdown	4059.7	17432.8	9750	13373.1	0.881	213
Pre-Lockdown	6209	17432.8	10125	11223.9	1.32	351
Pre-Lockdown	4489	17408.5	8812.5	12919.5	3.493	344
Pre-Lockdown	4864	17408	10875	12544	0.712	262
Pre-Lockdown	3584	17408	8250	13824	0.771	251
Lockdown	9120.8	17401.1	9562.5	8280.2	0.557	68
Pre-Lockdown	8149.3	17343.3	9765.6	9194	1.194	654
Lockdown	3546.4	17319.6	4968.8	13773.2	1.255	36
Pre-Lockdown	4552.8	17300.6	8370.5	12747.8	1.447	309
Pre-Lockdown	5145.9	17299	9000	12153.1	2.132	236
Pre-Lockdown	10377.4	17295.6	11425.8	6918.2	0.521	184
Pre-Lockdown	3989.9	17289.7	9562.5	13299.8	1.708	173
Lockdown	3958.8	17237.1	9000	13278.4	1.661	113
Pre-Lockdown	7263.5	17229.7	7324.2	9966.2	0.878	463
Pre-Lockdown	4763.4	17201.3	6835.9	12437.9	1.41	652
Lockdown	5484.5	17195.9	8531.2	11711.3	0.881	35
Pre-Lockdown	3175.1	17189.5	11625	14014.4	1.195	103
Lockdown	6660.1	17182.3	10125	10522.2	0.799	89
Lockdown	8000	17181	10031.2	9181	0.826	90
Pre-Lockdown	6959.7	17167.3	17089.8	10207.6	0.976	551
Lockdown	5979.7	17166.1	9656.2	11186.4	0.485	47
Pre-Lockdown	6239.2	17157.7	7324.2	10918.6	0.789	168
Lockdown	5742.9	17142.9	10031.2	11400	2.55	184
Pre-Lockdown	6205.7	17139.5	13183.6	10933.8	1.913	958
Lockdown	5916.1	17118.9	7781.2	11202.8	0.644	58
Pre-Lockdown	6499.1	17114.4	9765.6	10615.3	0.463	242
Pre-Lockdown	3843	17079.9	8300.8	13236.9	0.746	332
Lockdown	7422.7	17072.2	9093.8	9649.5	0.914	88
Pre-Lockdown	7079.1	17028.1	9960.9	9949	0.638	230
Lockdown	7911.3	17001.6	10406.2	9090.3	0.599	34
Pre-Lockdown	7132.7	16997.1	12137.2	9864.4	2.119	332
Lockdown	8709.4	16985.2	9281.2	8275.9	0.671	83
Lockdown	6019.9	16983.4	10125	10963.5	1.412	110
Pre-Lockdown	6433.9	16970.6	10687.5	10536.7	1.045	236
Lockdown	5572.9	16962.7	10406.2	11389.8	1.291	69
Lockdown	4271.2	16881.4	6843.8	12610.2	1.369	69
Lockdown	5749.2	16861.7	6937.5	11112.5	0.833	61
Lockdown	7630.3	16813.3	9750	9183	1.028	83
